feature,importance
11,0.024083552812934474
19,0.02022185363613213
36,0.02017037979283051
18,0.020140074487102665
20,0.020020191986144527
29,0.01937122153276576
21,0.01926866773976634
7,0.019138081375910332
10,0.017631020618470918
34,0.017436747081670777
27,0.017298247484048974
16,0.01729139026173364
3,0.01697590458680699
2,0.016697190846068855
15,0.016465097321978598
25,0.01642876101854601
14,0.016389725426842645
6,0.016235176380032933
31,0.01610896798773239
0,0.015815332991602853
4,0.015661925290136797
1,0.014416391346978691
23,0.01398936247607746
12,0.013731325415315137
28,0.013715278035758931
5,0.013645025158755804
30,0.013503454454688058
22,0.013040869170770394
8,0.012243358452691224
24,0.011470237112724975
13,0.011040416614661907
26,0.010638578649856782
17,0.010351922172734293
32,0.010167577681588935
9,0.009857080104689182
33,0.009120710634997089
35,0.007355302363196005
